trad	simp	py	eng	fra
呢	呢	ne5	"/particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")/particle for inquiring about location (""Where is ...?"")/particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")/(at the end of a declarative sentence) particle indicating continuation of a state or action/particle indicating strong affirmation/"	/(particule finale pour réitérer une question antérieure)/(particule finale indiquant une affirmation)/
呢	呢	ni1		/ce ou cet (cantonais)/
呢	呢	ni2	/woolen material/	/lainage/
呣	呣	m2	/interjection expressing a question/	/(interjection exprimant une question)/
呣	呣	m4	/interjection expressing consent/um/	
呤	呤	ling2	/used in 呤呤[ling2 ling2]/	
呤	呤	ling4	/used in 嘌呤[piao4 ling4]/Taiwan pr. [ling2]/	
呫	呫	che4	/used in 呫嚅[che4 ru2]/	
呫	呫	tie4	/to mutter/to talk indistinctly/	
呫	呫	zhan1	/to drink/to sip/to taste/to lick/whisper/petty/	
呱呱	呱呱	gu1 gu1	/(onom.) the crying of a baby/Taiwan pr. [wa1 wa1]/	
呱呱	呱呱	gua1 gua1	/(onom.) sound of frogs, ducks etc/	
呲	呲	ci1	/(coll.) to scold/to rebuke/	
呲	呲	zi1	/variant of 齜|龇[zi1]/	
呼嚕	呼噜	hu1 lu1	/(onom.) sound of snoring, wheezing or (cat's) purring/	/(onom.) respiration sifflante/
呼嚕	呼噜	hu1 lu5		/(onom.) ronflement/ron pchi/zzz/
咀	咀	ju3	/to chew/to masticate/	/mâcher/ruminer/gouter/savourer/
咀	咀	zui3	/popular variant of 嘴[zui3]/	
咋	咋	za3	/dialectal equivalent of 怎麼|怎么[zen3 me5]/	/équivalent de (zen3 me)/
咋	咋	ze2	/gnaw/	
咋	咋	zha1		/crier/vociférer/
咋	咋	zha4	/loud noise/shout/suddenly/	/mordre/
咖	咖	ga1	/used in 咖喱[ga1 li2]/	
咖	咖	ka1	/coffee/class/grade/	/(translittération de mots étrangers)/café/
咥	咥	die2	/gnaw/bite/	/rire fort/
咥	咥	xi4	/loud laugh/	
咱	咱	za2	/see 咱[zan2]/	
咱	咱	zan2	/I or me/we (including both the speaker and the person spoken to)/	
咼	呙	guo1	/surname Guo/	/(nom de famille)/
咼	呙	wai1	/lopsided/Taiwan pr. [kuai1]/	
咽	咽	yan1	/throat; pharynx/narrow pass/	/gosier/pharynx/
咽	咽	yan4	/variant of 嚥|咽[yan4]/	
咽	咽	ye4	/to choke (in crying)/	/pharynx/
哈	哈	ha1	/abbr. for 哈薩克斯坦|哈萨克斯坦[Ha1 sa4 ke4 si1 tan3], Kazakhstan/abbr. for 哈爾濱|哈尔滨[Ha1 er3 bin1], Harbin//(interj.) ha!/(onom. for laughter)/(slang) to be infatuated with; to adore/(bound form) husky (dog) (abbr. for 哈士奇[ha1 shi4 qi2])/	/souffler/ha! ha!/ah! ah!/
哈	哈	ha3	/a Pekinese; a pug/(dialect) to scold/	
哈	哈	han4		/marbre blanc/
哦	哦	e2	/to chant/	/réciter en chantant/
哦	哦	o		/(particule qui indique l'informalité, la chaleur, la convivialité ou l'intimité)/
哦	哦	o2	/oh (interjection indicating doubt or surprise)/	/(employé pour marquer une compréhension)/
哦	哦	o4	/oh (interjection indicating that one has just learned sth)/	/oh !/
哦	哦	o5	/sentence-final particle that conveys informality, warmth, friendliness or intimacy/may also indicate that one is stating a fact that the other person is not aware of/	
哩	哩	li1		/ce (cantonais)/
哩	哩	li3	/mile/	/Mille (unité)/
哩	哩	li5	/(modal final particle similar to 呢[ne5] or 啦[la5])/	/(particule modale finale)/
哪	哪	na3	/how/which/	/quel/comment/
哪	哪	na5	"/(emphatic sentence-final particle, used instead of 啊[a5] after a word ending in ""n"")/"	/(particule finale pour embellir la sonorité de certaines phrases)/
哪	哪	ne2	/used in 哪吒[Ne2 zha1]/Taiwan pr. [nuo2]/	
哪	哪	nei3	/which? (interrogative, followed by classifier or numeral-classifier)/	/lequel ?/(particule interrogative suivie d'un classificateur ou d'un chiffre-classificateur)/
哪兒的話	哪儿的话	na3 r de5 hua4		/(famil.) pas du tout (expression humble niant un compliment)/ne le mentionne pas/
哪兒的話	哪儿的话	na3 r5 de5 hua4	/(coll.) not at all (humble expression denying compliment)/don't mention it/	
哪兒跟哪兒	哪儿跟哪儿	na3 r gen1 na3 r5		/qu'est-ce que ça a à voir avec ça ?/quel est le rapport ?/
哪兒跟哪兒	哪儿跟哪儿	na3 r5 gen1 na3 r5	/what's that have to do with it?/what's the connection?/	
哮	哮	xiao1		/crier/rugir/souffler/
哮	哮	xiao4	/pant/roar/bark (of animals)/Taiwan pr. [xiao1]/	
唄	呗	bai4	"/(bound form) to chant (from Sanskrit ""pāṭhaka"")/"	
唄	呗	bei5	/modal particle indicating lack of enthusiasm/modal particle indicating that things should only or can only be done a certain way/	/(indiquant un fait facile à comprendre)/(indiquant une concession)/
唎	唎	li4	/(final particle)/sound/noise/	/(particule finale)/son/bruit/
唎	唎	li5	/variant of 哩[li5]/	
唫	唫	jin4	/to stutter/to shut one's mouth/Taiwan pr. [yin2]/	
唫	唫	yin2	/variant of 崟[yin2]/	
唱喏	唱喏	chang4 nuo4	"/to answer respectfully ""yes""/"	/affirmer respectueusement/
唱喏	唱喏	chang4 re3	/(old) to bow and utter polite phrases/to open the way (for a dignitary etc)/	
唷	唷	yo1	/(interjection expressing surprise) Oh!/My!/	/(interj. exprimant la surprise) Oh !/Mon dieu !/
唷	唷	yo5	/final particle expressing exhortation, admiration etc/	
啁	啁	zhao1	/used in 啁哳[zhao1 zha1]/Taiwan pr. [zhou1]/	
啁	啁	zhou1	/twittering of birds/	/gazouillement/gazouillis/babil/pépiement/ramage/
啊	啊	a		/(particule modale montrant l'affirmation, l'approbation, le consentement...)/
啊	啊	a1	/interjection of surprise/Ah!/Oh!/	/(interjection pour la surprise)/ah!/
啊	啊	a2	/interjection expressing doubt or requiring answer/Eh?/what?/	/(interjection) pour exprimer le doute ou pour questionner/hein ?/
啊	啊	a3	/interjection of surprise or doubt/Eh?/My!/what's up?/	/(interjection pour la surprise ou le doute)/
啊	啊	a4	/interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!/	/(interjection) ah/
啊	啊	a5	/modal particle ending sentence, showing affirmation, approval, or consent/	
啞	哑	ya1	/(onom.) sound of cawing/sound of infant learning to talk/variant of 呀[ya1]/	
啞	哑	ya3	/mute; dumb; incapable of speech/(of a voice) hoarse; husky/(of a bullet, bomb etc) dud/	/muet/rauque/
啵	啵	bo1	/(onom.) to bubble/	/(onom.) smack/bruit d'un baiser/
啵	啵	bo5	/grammatical particle equivalent to 吧/	
喂	喂	wei2	/hello (when answering the phone)/	/Allô !/allo/hé !/
喂	喂	wei4	/hey/to feed (an animal, baby, invalid etc)/	
喇舌	喇舌	la3 ji1	/(Tw) French kissing; to waggle one's tongue around (from Taiwanese 抐舌, Tai-lo pr. [lā-tsi̍h])/	
喇舌	喇舌	la3 she2		/embrasser avec la langue/
喔	喔	o1	/(interjection) oh; I see (used to indicate realization, understanding)/	/Je vois/oh/
喔	喔	o5	/(Tw) (sentence-final particle) (used to convey a friendly tone when giving an admonition or correcting sb etc)/	
喔	喔	wo1	/(onom.) cry of a rooster (usu. reduplicated)/Taiwan pr. [wo4]/	
喔	喔	wo5		/Je vois/Oh/(employé pour marquer une compréhension soudaine)/
喪氣	丧气	sang4 qi4	/to feel disheartened/	/se sentir découragé/
喪氣	丧气	sang4 qi5	/unlucky/	
單	单	chan2		/chef/
單	单	dan1	/bill/list/form/single/only/sole/odd number/CL:個|个[ge4]/	/liste/formulaire/seul/unique/impair (nombre)/drap/
單	单	shan4	/surname Shan/	/(nom de famille)/
單挑	单挑	dan1 tiao1		/choisir/combattre en duel/
單挑	单挑	dan1 tiao3	/to pick/to choose/to fight a duel/Taiwan pr. [dan1 tiao1]/	
嗊	唝	gong4	/used for transcription in 嗊吥|唝吥[Gong4 bu4]/	
嗊	唝	hong3	/used in the title of an ancient song, 囉嗊曲|啰唝曲[Luo2 hong3 Qu3]/	
嗌	嗌	ai4	/(literary) to choke; to have a blockage in the throat/Taiwan pr. [yi4]/	/suffoquer/s'étouffer (en avalant)/être étranglé (par les sanglots)/
嗌	嗌	yi4	/(literary) the throat/(literary) (military) choke point/	
嗎	吗	ma2	/(coll.) what?/	
嗎	吗	ma3	/used in 嗎啡|吗啡[ma3 fei1]/	/morphine/
嗎	吗	ma5	"/(question particle for ""yes-no"" questions)/"	/que/quoi/(particule interrogative placée à la fin d'une phrase)/
嗒	嗒	da1	/(onom.) used in words that describe machine gunfire, the ticking of a clock or the clatter of horse hooves etc/	
嗒	嗒	ta4	/to despair/	/tac/
嗝兒屁	嗝儿屁	ge2 r pi4		/(dial.) mourir/abandonner les fantômes/
嗝兒屁	嗝儿屁	ge2 r5 pi4	/(dialect) to die/to give up the ghost/	
嗟	嗟	jie1	/sigh/also pr. [jue1]/	/soupirer/hélas!/
嗟	嗟	jue1		/soupirer/
嘀	嘀	di1	/(onom.) sound of dripping water, a ticking clock etc/	
嘀	嘀	di2		/médire/médisance/
嘌	嘌	piao1		/rapide/
嘌	嘌	piao4	/(literary) fast/speedy/used in 嘌呤[piao4 ling4]/Taiwan pr. [piao1]/	
嘎啦	嘎啦	ga1 la5	/(onom.) rumbling/rattling/	
嘎啦	嘎啦	ga2 la5	/to quarrel (Northeastern Mandarin)/	
嘛	嘛	ma2	/used in 唵嘛呢叭咪吽[an3 ma2 ni2 ba1 mi1 hong1]/(Tw) (coll.) what?/	
嘛	嘛	ma5	/modal particle indicating that sth is obvious/particle indicating a pause for emphasis/	/(placé à la fin de la phrase, marque une évidence)/(placé au milieu d'une phrase, marque une pause)/
嘩	哗	hua1	/(onom.) bang/clang/sound of gurgling, splashing or flowing water/(interjection expressing surprise) wow/	/fracas/
嘩	哗	hua2	/clamor/noise/(bound form) sound used to call cats/	
嘮	唠	lao2	/to chatter/	/bavarder/
嘮	唠	lao4	/to gossip/to chat (dialect)/	
嘸	呒	fu3	/perplexed/astonished/	
嘸	呒	m2	/dialectal equivalent of 沒有|没有[mei2 you3]/	
嘽	啴	chan3	/used in 嘽嘽|啴啴[chan3 chan3] and 嘽緩|啴缓[chan3 huan3]/	
嘽	啴	tan1	/used in 嘽嘽|啴啴[tan1 tan1]/	
嘽嘽	啴啴	chan3 chan3	/relaxed and leisurely/	/détendu et tranquille/
嘽嘽	啴啴	tan1 tan1	/(literary) panting (of draft animals)/(literary) impressively numerous/	
噦	哕	hui4	/used in 噦噦|哕哕[hui4 hui4]/	
噦	哕	yue3	/to puke/to hiccup/Taiwan pr. [yue1]/	/Vomissement/
嚓	嚓	ca1	/(onom.) scraping sound/ripping of fabric/screeching of tires/	/(onom.) cri strident/
嚓	嚓	cha1	/(onom.) used in 喀嚓[ka1 cha1] and 啪嚓[pa1 cha1]/Taiwan pr. [ca1]/	
嚴以律己	严以律己	yan2 yi3 lu:4 ji3	/to be strict with oneself (idiom)/to demand a lot of oneself/	
嚴以律己	严以律己	yan3 yi3 lu:4 ji3		/(expr. idiom.) être strict avec soi-même/
嚵	嚵	chan2	/(variant of 饞|馋[chan2]) gluttonous/greedy/	/goulu/avide/
嚵	嚵	chan4	/(literary) animal's mouth or beak/	
嚼	嚼	jiao2	/to chew/also pr. [jue2]/	/mâcher/
嚼	嚼	jiao4	/used in 倒嚼[dao3 jiao4]/	
嚼	嚼	jue2		/mâcher/
囉唆	啰唆	luo1 suo1		/baratin/verbeux/compliqué/
囉唆	啰唆	luo1 suo5	/variant of 囉嗦|啰嗦[luo1 suo5]/	
囑咐	嘱咐	zhu3 fu4		/exhorter/avertir/recommander/charger de/
囑咐	嘱咐	zhu3 fu5	/to urge; to exhort/	
囝	囝	jian3	/child/	/enfant/
囝	囝	nan1	/variant of 囡[nan1]/	
囷	囷	jun1		/grenier/
囷	囷	qun1	/granary/Taiwan pr. [jun1]/	
圖論	图论	tu2 lun2		/théorie des graphes (math.)/
圖論	图论	tu2 lun4	/graph theory (math.)/	
圣	圣	ku1	/to dig/	/creuser/
圣	圣	sheng4	/old variant of 聖|圣[sheng4]/	
圫	圫	ao4	/variant of 墺[ao4]/	
圫	圫	tuo1	/(used in place names)/	/(utilisé dans les noms de lieu)/
地排車	地排车	di4 pai2 che1		/charrette à bras/
地排車	地排车	di4 pai3 che1	/handcart/	/charrette à bras/
圱	圱	qian1	/a field of three li/old variant of 阡[qian1]/	
圱	圱	su2	/old variant of 俗[su2]/	
坆	坆	fen2	/variant of 墳|坟[fen2]/grave/tomb/	
坆	坆	mei2	/variant of 梅[mei2]/plum/	
坊	坊	fang1	/surname Fang//lane (usually as part of a street name)/memorial archway/	
坊	坊	fang2	/workshop/mill/Taiwan pr. [fang1]/	/rue/atelier/arc de triomphe/
坎特伯雷故事集	坎特伯雷故事集	kan3 te4 bo2 lai2 gu4 shi4 ji2		/Les Contes de Canterbury/
坎特伯雷故事集	坎特伯雷故事集	kan3 te4 bo2 lei2 gu4 shi4 ji2	/The Canterbury Tales, collection of stories by Geoffrey Chaucer 喬叟|乔叟[Qiao2 sou3]/	
坐臥不寧	坐卧不宁	zuo4 wo4 bu4 ning2	/to be restless/	/être sans repos/
坐臥不寧	坐卧不宁	zuo4 wo4 bu4 ning4		/être agité/
坴	坴	liu4		/motte de terre/terrain/
坴	坴	lu4	/a clod of earth/land/	/motte de terre/terrain/
垛	垛	duo3	/battlement/target/	
垛	垛	duo4	/pile/	/tas/amoncellement/
埄	埄	beng3	/variant of 埲[beng3]/	
埄	埄	feng1	/landmark used during the Song Dynasty (960-1279 AD)/	
埒	埒	lei4		/petite digue/semblable/
埒	埒	lie4	/(literary) equal/enclosure/dike/embankment/Taiwan pr. [le4]/	/(lit.) égal/enclos/fossé/berge/
埡	垭	ya1	/(dialect) strip of land between hills/used in place names/also pr. [ya4]/	
埡	垭	ya4		/(utilisé dans les noms de lieu)/
埫	埫	shang3	/variant of 垧[shang3]/Taiwan pr. [chong3]/	
埫	埫	tang3	/flat land/(used in place names)/	/terrain plat/(utilisé dans les noms de lieux)/
執事	执事	zhi2 shi4	/to perform one's job/attendant/job/duties/(respectful appellation for the addressee) you/your Excellency/(Church) deacon/	
執事	执事	zhi2 shi5	/paraphernalia of a guard of honor/	
執迷不悟	执迷不悟	zhi2 mi2 bu2 wu4		/(expr. idiom.) persister dans l'erreur/
執迷不悟	执迷不悟	zhi2 mi2 bu4 wu4	/to obstinately persist in going about things the wrong way (idiom)/	/(expr. idiom.) persister obstinément à faire mal les choses/
堂姐夫	堂姐夫	tang2 jie3 fu5	/husband of older female cousin via male line/	
堂姐夫	堂姐夫	tang3 jie3 fu5		/époux d'une cousine plus âgée par l'intermédiaire d'une lignée masculine/
堆高車	堆高车	dui1 gao1 che1	/high-lift pallet truck; pallet stacker/	
堆高車	堆高车	tui1 gao1 che1		/transpalette/
堡	堡	bao3	/(bound form) fortress; stronghold/(often used to transliterate -berg, -burg etc in place names)/(bound form) burger (abbr. for 漢堡|汉堡[han4bao3])/	/forteresse/fortin/château/(utilisé dans les noms de lieu)/
堡	堡	bu3	/village (used in place names)/	
堡	堡	pu4	/variant of 鋪|铺[pu4]/used in place names/	/bordj/fort/
場	场	chang2	/threshing floor/classifier for events and happenings: spell, episode, bout/	
場	场	chang3	/large place used for a specific purpose/stage/scene (of a play)/classifier for sporting or recreational activities/classifier for number of exams/	
塞繆爾·約翰遜	塞缪尔·约翰逊	sai1 miu4 er3 · yue1 han4 xun4	/Samuel Johnson (1709-1784) or Dr Johnson, English writer and lexicographer/	/Samuel Johnson/
塞繆爾·約翰遜	塞缪尔·约翰逊	sai1 mu2 er3 · yue1 han4 xun4		/Samuel Johnson/
墊圈	垫圈	dian4 juan4	/to spread litter in a cowshed, pigsty etc/	/répandre la litière/
墊圈	垫圈	dian4 quan1	/washer (on bolt)/toilet seat/	
墬	墬	di2		/chuter/tomber/
墬	墬	di4	/variant of 地[di4]/	
壓板	压板	ya1 ban3	/vise jaw/press board (machine)/	
壓板	压板	ya4 ban3	/see-saw/	
壓馬路	压马路	ya1 ma3 lu4		/flâner dans les rues/
壓馬路	压马路	ya4 ma3 lu4	/variant of 軋馬路|轧马路[ya4 ma3 lu4]/Taiwan pr. [ya1 ma3 lu4]/	
夅	夅	jiang4	/old variant of 降[jiang4]/	
夅	夅	xiang2	/old variant of 降[xiang2]/	
外場	外场	wai4 chang2	/outside world/society/	/monde extérieur/société/
外場	外场	wai4 chang3	/outer area (of a place that has an inner area)/dining area of a restaurant (as opposed to the kitchen)/outfield (baseball etc)/area outside a venue (e.g. exterior of a stadium)/field (maintenance, testing etc)/(Chinese opera) the area in front of the table on the stage/	
外面	外面	wai4 mian4	/outside (also pr. [wai4 mian5] for this sense)/surface/exterior/external appearance/	/surface/extérieur/apparence extérieure/
外面	外面	wai4 mian5		/dehors/en dehors/à l'extérieur/
多頭市場	多头市场	duo1 tou2 shi4 chang2		/marché haussier/
多頭市場	多头市场	duo1 tou2 shi4 chang3	/bull market/	/marché haussier/
夯	夯	ben4	/variant of 笨[ben4]/	
夯	夯	hang1	/to ram; to tamp/a rammer; a tamper/(slang) popular; hot/	/damer/
夾	夹	ga1		/aisselle/
夾	夹	jia1	/to press from either side/to place in between/to sandwich/to carry sth under armpit/wedged between/between/to intersperse/to mix/to mingle/clip/folder/Taiwan pr. [jia2]/	/pincer/presser des deux côtés/insérer/tenir qch sous le bras/mêler/mélanger/pince/épingle/
夾	夹	jia2	/double-layered/lined (garment)/	
夾	夹	jia4	/Taiwan pr. used in 夾生|夹生[jia1 sheng1] and 夾竹桃|夹竹桃[jia1 zhu2 tao2]/	/pincer/insérer/tenir qch sous le bras/mêler/mélanger/
奓	奓	chi3	/old variant of 侈[chi3]/	
奓	奓	she1	/old variant of 奢[she1]/	
奓	奓	zha4	/to open/to spread/	/ouvrir/se propager/
奔	奔	ben1	/to hurry/to rush/to run quickly/to elope/	
奔	奔	ben4	/to go to/to head for/towards/Taiwan pr. [ben1]/	/ruée/
奔三	奔三	ben1 san1	/Pentium III microprocessor (abbr. for 奔騰三|奔腾三[Ben teng2 San1])/	/friser la trentaine/
奔三	奔三	ben4 san1	/to be pushing 30/	
奔四	奔四	ben1 si4		/friser la quarantaine/
奔四	奔四	ben4 si4	/to be pushing 40/	
女	女	nu:3	/female/woman/daughter/	/femme/dame/fille/féminin/
女	女	ru3	/archaic variant of 汝[ru3]/	
女婿	女婿	nu:3 xu4		/mari de sa fille/gendre/beau-fils/
女婿	女婿	nu:3 xu5	/daughter's husband; son-in-law/	/mari de la fille/gendre/beau-fils/
好處	好处	hao3 chu3	/easy to get along with/	
好處	好处	hao3 chu5	/benefit; advantage; merit/gain; profit/also pr. [hao3 chu4]/	/avantage/profit/bénéfice/utilité/
姘頭	姘头	pin1 tou2		/(péjor.) amant/maitresse (illégitime)/salop/salope/
姘頭	姘头	pin1 tou5	/lover/mistress/	/amant/maitresse/
娒	娒	mei2	/(used in personal names)/	
娒	娒	mu3	/variant of 姆[mu3]/	
娒	娒	wu3	/variant of 侮[wu3]/	
媁	媁	wei2	/to appear displeased/beautiful/	
媁	媁	wei3	/ugly/to indulge oneself/	/moche/se faire plaisir/
媠	媠	duo4	/old variant of 惰[duo4]/	
媠	媠	tuo2	/beautiful/	/belle/
嬛	嬛	huan2	/(used in names)/	/(utilisé dans les noms)/
嬛	嬛	qiong2	/(literary) alone; solitary (variant of 惸[qiong2]) (variant of 煢|茕[qiong2])/	/seul/solitaire/
嬛	嬛	xuan1	/used in 便嬛[pian2 xuan1]/	
嬤	嬷	ma1		/maman/
嬤	嬷	mo2	/dialectal or obsolete equivalent of 媽|妈[ma1]/Taiwan pr. [ma1]/	
字帖	字帖	zi4 tie3	/piece of paper with short note/short letter/	/morceau de papier avec une note courte/lettre courte/
字帖	字帖	zi4 tie4	/copybook (for calligraphy)/	
孩兒	孩儿	hai2 er2		/enfant/
孩兒	孩儿	hai2 r5	/child/	
宊	宊	jia1	/old variant of 家[jia1]/	
宊	宊	tu2	/variant of 突/	
宏碁	宏碁	hong2 ji1	/Acer, Taiwanese computer hardware company/	/ACER (société)/
宏碁	宏碁	hong2 qi2		/Acer Incorporated/
定當	定当	ding4 dang1	/necessarily/	/nécessairement/
定當	定当	ding4 dang4	/settled/ready/finished/	
家傳	家传	jia1 chuan2	/handed down in a family/family traditions/	/traditions familiales/
家傳	家传	jia1 zhuan4	/family history (as a literary genre)/	
家八哥	家八哥	jia1 ba1 ge1		/martin triste (oiseau)/
家八哥	家八哥	jia1 ba1 ge5	/(bird species of China) common myna (Acridotheres tristis)/	
寄予	寄予	ji4 yu2		/placer/
寄予	寄予	ji4 yu3	/to place (hope, importance etc) on/to express; to show; to give/	
密鑰	密钥	mi4 yao4	/(cryptography) key/	/clé cryptographique/clé de chiffrement/
密鑰	密钥	mi4 yue4		/Clef (serrurerie)/
寧拆十座廟，不毀一樁婚	宁拆十座庙，不毁一桩婚	ning2 chai1 shi2 zuo4 miao4 , bu4 hui4 yi1 zhuang1 hun1		/(expr. idiom.) plutôt détruire dix temples qu'un seul mariage/
寧拆十座廟，不毀一樁婚	宁拆十座庙，不毁一桩婚	ning4 chai1 shi2 zuo4 miao4 , bu4 hui3 yi1 zhuang1 hun1	/rather destroy ten temples than a single marriage (idiom)/	
寶寶	宝宝	bao3 bao3		/chéri/bébé/
寶寶	宝宝	bao3 bao5	/darling; baby/	
尉	尉	wei4	/surname Wei//military officer/	/officier subalterne/
尉	尉	yu4	/used in 尉遲|尉迟[Yu4 chi2] and 尉犁[Yu4 li2]/	
尾	尾	wei3	/tail/remainder/remnant/extremity/sixth of the 28 constellations/classifier for fish/	/queue/extrémité/poupe/
尾	尾	yi3	/horse's tail/pointed posterior section of a locust etc/	
尾巴	尾巴	wei3 ba5	/tail/colloquial pr. [yi3 ba5]/	/queue/
尾巴	尾巴	yi3 ba5		/(famil.) queue/
居喪	居丧	ju1 sang1	/to observe the ritual mourning/	
居喪	居丧	ju1 sang4		/observer un deuil rituel/
居處	居处	ju1 chu3	/to live/to reside/	
居處	居处	ju1 chu4	/dwelling place/home/	/lieu d'habitation/domicile/
屏	屏	bing1	/see 屏營|屏营[bing1 ying2]/	
屏	屏	bing3	/to get rid of/to put aside/to reject/to keep control/to hold (one's breath)/	/retenir (sa respiration)/rejeter/abandonner/
屏	屏	ping2	/(standing) screen/	/écran/paravent/
峒	峒	dong4	/cave/cavern/	/grotte/caverne/
峒	峒	tong2	/name of a mountain/	
峙	峙	shi4	/used in 繁峙[Fan2 shi4]/	
峙	峙	zhi4	/(literary) to tower aloft/	/se dresser/
峠	峠	qia3		/Col de montagne/
峠	峠	xx5	/(Japanese kokuji) mountain pass/(fig.) crisis point/pr. tōge/	
崗	岗	gang1	/variant of 岡|冈 [gang1]/	
崗	岗	gang3	/(bound form) hillock; mound/sentry post; policeman's beat/(bound form) job; post/	/colline/poste/garde/
崤	崤	xiao2	/name of a mountain in Henan/also pr. [Yao2]/	/(nom d'une montagne dans le Henan)/
崤	崤	yao2		/(montagne dans le Henan)/
嵌	嵌	kan3	/see 赤嵌樓|赤嵌楼[Chi4 kan3 lou2]/	
嵌	嵌	qian4	/to inlay/to embed/Taiwan pr. [qian1]/	/incruster/enchâsser/
嶃	崭	chan2	/variant of 嶄|崭[chan2]/	
嶃	崭	zhan3	/variant of 嶄|崭[zhan3]/	
巂	巂	gui1	/cuckoo/revolution of a wheel/	/coucou/révolution de la roue/
巂	巂	sui3		/(nom de lieu dans le Sichuan)/
巂	巂	xi1	/place name in Sichuan/	/(nom de lieu dans le Sichuan)/
巆	𫶕	hong1	/(onom.) crashing sound/same as 訇[hong1]/	
巆	𫶕	ying2	/used in 岭巆|岭𫶕[ling2 ying2]/	
差使	差使	chai1 shi3	/to send/to assign/to appoint/servants of an official/official messenger/	/envoyer en mission officielle/mission officielle/poste administratif/assigner/
差使	差使	chai1 shi5	/official post/billet/commission/CL:件[jian4]/see also 差事[chai1 shi5]/	
巴掌	巴掌	ba1 zhang3		/paume (de la main)/gifle/
巴掌	巴掌	ba1 zhang5	/palm of the hand/classifier: slap/	
帹	帹	qie4	/man's headband (arch.)/	
帹	帹	sha4	/kerchief covering head (arch.)/	/foulard couvrant la tête (arch.)/
幀	帧	zhen1	/frame/classifier for paintings etc/Taiwan pr. [zheng4]/	
幀	帧	zheng4		/cadre/photo/
幢	幢	chuang2	/banner/	
幢	幢	zhuang4	/classifier for buildings/carriage curtain (old)/	/bannière/(classificateur pour les immeubles)/
年份	年份	nian2 fen4	/particular year/	
年份	年份	nian2 fen5		/année/millésime/
庅	庅	me5	/variant of 麼|么[me5]/	
庅	庅	mo2	/variant of 麼|麽[mo2]/	
廁	厕	ce4	/restroom; toilet; lavatory/(literary) to be mingled with; to be involved in/	/toilettes/W.C./latrines/
廁	厕	si4	/used in 茅廁|茅厕[mao2 si5]/	
廑	廑	jin3	/careful/hut/variant of 僅|仅[jin3]/	/jin (empereur)/
廑	廑	qin2	/variant of 勤[qin2]/	
廡	庑	wu2	/variant of 蕪|芜[wu2]/	
廡	庑	wu3	/small rooms facing or to the side of the main hall or veranda/	
延誤	延误	yan2 wu4	/to postpone (with unfortunate consequences); to take too long (to do sth); to miss (a deadline or window of opportunity)/	
延誤	延误	yan2 wu5		/manquer pour cause de retard/
弄	弄	long4	/lane/alley/	
弄	弄	nong4	/to do/to manage/to handle/to play with/to fool with/to mess with/to fix/to toy with/	/faire/commettre/jouer avec/se procurer/
弟	弟	di4	/younger brother/junior male/I (modest word in letter)/	/frère cadet/petit frère/
弟	弟	ti4	/variant of 悌[ti4]/	
弮	弮	juan4	/variant of 卷[juan4], curled up scroll/	
弮	弮	quan1	/crossbow (arch.)/	/arbalète (arch.)/
強	强	jiang4	/stubborn/unyielding/	
強	强	qiang2	/surname Qiang//strong/powerful/better/slightly more than/vigorous/violent/best in their category, e.g. see 百強|百强[bai3 qiang2]/	
強	强	qiang3	/to force/to compel/to strive/to make an effort/	
強忍	强忍	qiang2 ren3		/résister (avec grande difficulté)/
強忍	强忍	qiang3 ren3	/to resist (with great difficulty)/	/résister/
弸	弸	beng1		/tendu (corde d'arc)/plein/
弸	弸	peng2	/strong bow/bowstring/to fill; full/	
彈子	弹子	dan4 zi5	/slingshot pellet/playing marbles/billiards/CL:粒[li4],顆|颗[ke1]/	/bille/
彈子	弹子	tan2 zi5	/towrope/	
彈片	弹片	dan4 pian4	/shrapnel; shell fragment/	
彈片	弹片	tan2 pian4	/plectrum/	
彊	彊	jiang4		/obstiné/
彊	彊	qiang2		/fort/supérieur/
往	往	wang3	/to go (in a direction)/to/towards/(of a train) bound for/past/previous/	/ancien/passé/aller/se rendre/en direction de/vers/
往	往	wang4		/aller/se rendre/
後面	后面	hou4 mian4		/arrière/derrière/plus tard/ensuite/
後面	后面	hou4 mian5	/the back; the rear; the last bit/behind; near the end; at the back/later; afterwards/	/derrière/en arrière/après/
得中	得中	de2 zhong1	/moderate; appropriate; suitable/	
得中	得中	de2 zhong4	/(as in an imperial examination) to be a successful candidate/to draw a winning ticket (in a lottery)/	
從	从	cong1		/relâché/mou/sans hâte/
從	从	cong2	/surname Cong//from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor/	/(à partir) de/depuis/jamais/suivre/obéir à/s'engager dans/se joindre à/secondaire/accessoire/
從	从	zong4		/cousin au 2e degré/
徵	徵	zheng1		/marcher/lancer une expédition/conquérir/percevoir/prélever/
